[12:50:43] [info] Blaze: Creating window Blaze App (1600, 900)
[12:50:44] [info] Blaze: OpenGL Info:
[12:50:44] [info] Blaze:   Vendor: NVIDIA Corporation
[12:50:44] [info] Blaze:   Renderer: GeForce GTX 1080 Ti/PCIe/SSE2
[12:50:44] [info] Blaze:   Version: 4.6.0 NVIDIA 465.42
[12:50:44] [error] Blaze: Program/shader state performance warning: Vertex shader in program 1 is being recompiled based on GL state.
[12:50:44] [error] Blaze: Program/shader state performance warning: Vertex shader in program 1 is being recompiled based on GL state, and was not found in the disk cache
[12:50:57] [trace] Blaze: Deserializing scene 'Untitled'
[12:50:57] [trace] Blaze: Deserialized entity with ID = 12837192831273, name = Top
[12:50:57] [trace] Blaze: Deserialized entity with ID = 12837192831273, name = Camera
[12:50:57] [trace] Blaze: Deserialized entity with ID = 12837192831273, name = Right
[12:50:57] [trace] Blaze: Deserialized entity with ID = 12837192831273, name = Left
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 50
[12:50:57] [warning] Blaze: Pixel data = 50
[12:50:57] [warning] Blaze: Pixel data = 50
[12:50:57] [warning] Blaze: Pixel data = 50
[12:50:57] [warning] Blaze: Pixel data = 50
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 1036831949
[12:50:57] [warning] Blaze: Pixel data = 50
[12:50:57] [warning] Blaze: Pixel data = 50
[12:50:57] [warning] Blaze: Pixel data = 50
[12:50:57] [warning] Blaze: Pixel data = 50
[12:50:57] [warning] Blaze: Pixel data = 50
[12:50:57] [warning] Blaze: Pixel data = 50
[12:50:57] [warning] Blaze: Pixel data = 50
[12:50:57] [warning] Blaze: Pixel data = 50
[12:50:57] [warning] Blaze: Pixel data = 50
[12:50:57] [warning] Blaze: Pixel data = 50
[12:50:58] [warning] Blaze: Pixel data = 50
[12:50:58] [warning] Blaze: Pixel data = 50
[12:50:58] [warning] Blaze: Pixel data = 50
[12:50:58] [warning] Blaze: Pixel data = 50
[12:50:58] [warning] Blaze: Pixel data = 50
[12:50:58] [warning] Blaze: Pixel data = 50
[12:50:58] [warning] Blaze: Pixel data = 50
[12:50:58] [warning] Blaze: Pixel data = 50
[12:50:58] [warning] Blaze: Pixel data = 50
[12:50:58] [warning] Blaze: Pixel data = 50
